Id;ProductName;CategoryId;CategoryName;AveragePrice
5919;Wypieki regionalne REG 24;6;Żabka Cafe;2.99
5920;Sushi, Onigiri 21;3;Szybkie przekąski;4.22
5922;Rogale impulsowe 21;15;Słodycze;2.69
5923;Pierogi mrożone 44;4;Mrożonki;6.29
5924;Środki do zmywarki 20;5;Niespożywcze;9.67
5925;Pozostałe sery 18;17;Spożywka świeża;4.90
5926;Sosy do podgrzania 50;2;Artykuły spożywcze;6.09
5927;Akcesoria dekoracyjne 240;5;Niespożywcze;6.99
5929;Jogurty pitne 86;17;Spożywka świeża;1.89
5930;Pierogi 135;10;Dania gotowe;6.48
5931;Cukierki miękkie 84;15;Słodycze;4.49
5932;Kawa mielona 101-250 g 21;2;Artykuły spożywcze;10.43
5933;Kostki toaletowe 113;5;Niespożywcze;8.99
5934;Pasty do zębów 183;5;Niespożywcze;9.99
5935;Pieczywo REG 6;12;Pieczywo;3.32
5936;Drinki alkoholowe do 4,5% 28;1;Alkohol;3.49
5937;Płatki 71;2;Artykuły spożywcze;1.79
5938;Cukierki, praliny 51;15;Słodycze;6.11
5939;Chipsy duże powyżej 101g 99;16;Słone przekąski;3.49
5940;Bułka zwykła odpiekana 9;12;Pieczywo;0.65
5941;Wypieki regionalne REG 18;6;Żabka Cafe;1.63
5942;Cukierki, praliny 16;15;Słodycze;9.99
5943;Sałatki mięsne 25;3;Szybkie przekąski;3.99
5944;Dania gotowe mięsne 88;10;Dania gotowe;5.96
5945;Sery białe kanapkowe 78;17;Spożywka świeża;2.83
5946;Herbatki, soki dla dzieci 45;5;Niespożywcze;3.79
5947;Jogurty pitne 218;17;Spożywka świeża;2.99
5948;Chleb zwykły długoterminowy 120;12;Pieczywo;2.29
5949;Żelki, żujki, pianki 160;15;Słodycze;4.11
5950;Napoje energetyczne powyżej 0,4 L 34;11;Napoje;4.73
5951;Lody na patyku 228;21;Lody;1.41
5952;Draże impulsowe 266;15;Słodycze;8.96
5953;Mleko zagęszczone 68;17;Spożywka świeża;3.93
5954;Warzywa, owoce, rośliny REG 313;18;Warzywa & Owoce & Rośliny;3.18
5955;Kasze 131;2;Artykuły spożywcze;2.68
5956;Naleśniki, racuchy, gofry 15;10;Dania gotowe;7.74
5957;Śledź, przetwory 86;17;Spożywka świeża;2.99
5958;Sery białe kanapkowe 95;17;Spożywka świeża;2.32
5959;Przetwory z warzyw 99;2;Artykuły spożywcze;4.03
5960;Przetwory z warzyw 194;2;Artykuły spożywcze;3.95
5961;Czekolady małe 163;15;Słodycze;2.79
5962;Mleczka, proszki do czyszczenia 98;5;Niespożywcze;10.44
5963;Chipsy duże powyżej 101g 163;16;Słone przekąski;4.69
5965;Zupy na ciepło 46;10;Dania gotowe;6.31
5966;Wafle ryżowe 75;2;Artykuły spożywcze;2.99
5967;Zupy w proszku do gotowania 4;2;Artykuły spożywcze;2.41
5968;Owoce cytrusowe 53;18;Warzywa & Owoce & Rośliny;1.69
5969;Batony impulsowe 480;15;Słodycze;6.28
5970;Pozostałe desery mleczne 172;17;Spożywka świeża;1.69
